time,cif
2,1.0207E-06
3,1.78624E-06
5,2.55183E-06
6,3.31745E-06
7,3.57267E-06
8,5.35931E-06
9,6.12513E-06
10,7.14625E-06
11,7.40154E-06
12,8.93328E-06
13,1.02098E-05
14,1.14865E-05
15,1.27632E-05
16,1.45508E-05
17,1.58279E-05
18,1.88932E-05
19,2.06817E-05
20,2.17038E-05
21,2.29815E-05
22,2.5026E-05
23,2.73263E-05
24,3.01382E-05
25,3.16722E-05
26,3.37179E-05
27,3.5508E-05
28,3.67868E-05
29,3.90887E-05
30,4.06237E-05
31,4.24147E-05
32,4.44617E-05
33,4.67648E-05
34,5.06041E-05
35,5.21403E-05
36,5.36767E-05
37,5.4445E-05
38,5.62377E-05
39,5.77744E-05
40,5.98237E-05
41,6.21293E-05
42,6.39228E-05
43,6.52041E-05
44,6.64855E-05
45,6.82796E-05
46,6.95613E-05
47,7.18686E-05
48,7.44326E-05
49,7.59713E-05
50,7.75101E-05
51,7.93056E-05
52,8.03318E-05
53,8.1358E-05
54,8.34107E-05
55,8.46938E-05
56,8.64903E-05
57,8.77737E-05
58,8.88005E-05
59,9.05976E-05
60,9.21382E-05
61,9.47062E-05
62,9.70178E-05
63,9.85591E-05
64,9.93298E-05
65,0.000100357
66,0.000102156
67,0.000104212
68,0.000104726
69,0.000107296
70,0.000108324
71,0.000110124
72,0.00011141
73,0.000112695
74,0.000113467
75,0.00011501
76,0.000115782
77,0.00011681
78,0.000118354
79,0.000120412
80,0.000122728
81,0.000124272
82,0.000126589
83,0.000129163
84,0.000129935
85,0.000132253
86,0.000133798
87,0.000135086
88,0.000136374
89,0.000138177
90,0.000140238
91,0.000140754
92,0.000141784
93,0.000142815
94,0.000144361
95,0.000146166
96,0.000148486
97,0.000149517
98,0.000152096
99,0.000153128
100,0.000154418
101,0.000155966
102,0.000156998
103,0.000158546
104,0.000160868
105,0.000162675
106,0.000164224
107,0.000166805
108,0.000168613
109,0.000169646
110,0.000171196
111,0.000172229
112,0.000173004
113,0.000173779
114,0.000174813
115,0.000175588
116,0.000177138
117,0.000177655
118,0.000179206
119,0.000181273
120,0.000182049
121,0.000183599
122,0.000185151
123,0.000187219
124,0.000189029
125,0.00019084
126,0.000192392
127,0.000193944
128,0.000194461
129,0.000196531
130,0.000197825
131,0.00019886
132,0.000199895
133,0.000201448
134,0.000203259
135,0.000204295
136,0.000206107
137,0.000207143
138,0.000208955
139,0.000210509
140,0.000212063
141,0.000213358
142,0.000214913
143,0.00021569
144,0.000217504
145,0.000218541
146,0.000220355
147,0.000221132
148,0.000222947
149,0.000223724
150,0.000224761
151,0.000225799
152,0.000226836
153,0.000227614
154,0.000228391
155,0.000229688
156,0.000230985
157,0.000232282
158,0.000233319
159,0.000233838
160,0.000234617
161,0.000235395
162,0.000236173
163,0.000236952
164,0.000237211
165,0.000238509
166,0.000239547
167,0.000240585
168,0.000242142
169,0.0002437
170,0.000245776
171,0.000246815
173,0.000247594
174,0.000248633
175,0.000249931
177,0.00025071
178,0.000252788
179,0.000255127
180,0.000255906
181,0.000257725
182,0.000259544
183,0.000261364
184,0.000262664
185,0.000263444
186,0.000264744
187,0.000265784
188,0.000266565
189,0.000268905
190,0.000269946
191,0.000271767
192,0.000272547
193,0.000273588
194,0.000274629
195,0.00027593
196,0.000277231
197,0.000278012
198,0.000280095
199,0.000281136
200,0.000282438
201,0.000284782
202,0.000286605
203,0.000288689
204,0.000289991
205,0.000291815
206,0.0002939
207,0.000295463
208,0.000297027
209,0.000297288
211,0.000297809
212,0.000298592
213,0.000299374
214,0.000300678
215,0.000302242
216,0.000303547
217,0.000304851
218,0.000305895
219,0.000307199
220,0.000308243
221,0.000310592
222,0.000312419
224,0.000313985
225,0.000314507
226,0.000314768
227,0.00031529
228,0.000316074
229,0.000317118
230,0.000318163
231,0.000319468
232,0.000321036
233,0.000322864
234,0.000323648
235,0.000324431
236,0.000325738
237,0.000325999
238,0.000326783
239,0.000328089
241,0.000329657
242,0.000330702
243,0.000332532
244,0.000334362
245,0.000334885
246,0.000336453
247,0.000337499
248,0.000338283
249,0.000339591
250,0.000340375
251,0.000341422
252,0.000342729
